trial_index,x0,x1,x2,x3,x4,x5,l2norm_mean_value
0_0,0.2,0.15,0.48,0.28,0.31,0.66,0.902
0_1,0.1,0.3,0.7,0.2,0.9,0.6,1.675
0_2,0.23,0.14,0.35,0.29,0.3,0.67,0.949
0_3,0.5,0.5,0.5,0.5,0.5,0.5,1.42
0_4,0.9,0.1,0.8,0.2,0.7,0.3,1.274
0_0,0.2,0.15,0.48,0.28,0.31,0.66,0.629
0_1,0.18,0.14,0.5,0.26,0.29,0.64,0.368
0_2,0.1,0.9,0.3,0.7,0.2,0.8,1.486
0_3,0.85,0.05,0.65,0.4,0.95,0.15,1.411
0_0,0.2,0.15,0.48,0.28,0.31,0.66,0.754
0_1,0.18,0.14,0.5,0.26,0.29,0.64,0.999
0_2,0.1,0.9,0.3,0.7,0.2,0.8,1.274
0_3,0.85,0.05,0.65,0.4,0.95,0.15,1.684
